何处    1628次
不知    1545次
万里    1403次
白云    1296次
今日    1258次
春风    1188次
千里    1140次
不可    1113次
不见    1028次
长安    1000次
人间     948次
无人     946次
齐己     931次
不得     927次
故人     917次
明月     893次
使君     842次
惆怅     838次
秋风     788次
悠悠     785次
江南     773次
如何     758次
贯休     753次
司空     748次
相思     741次
青山     727次
兵要     725次
易静     721次
白日     691次
相逢     669次
乐章     668次
何人     667次
少年     628次
平生     623次
黄金     618次
春日     614次
山中     600次
何事     599次
可怜     596次
不能     592次
王建     591次
将军     589次
寂寞     587次
主人     587次
郎中     580次
张祜     578次
天地     577次
天子     574次
如此     569次
回首     568次
日月     564次
孟郊     562次
员外     560次
杜牧     560次
皎然     555次
姚合     552次
从此     549次
钱起     548次
流水     545次
三十     544次
许浑     544次
不如     543次
相公     540次
今朝     536次
题拟     536次
皇甫     530次
当时     523次
不是     522次
天下     520次
洞庭     519次
先生     519次
相见     511次
落日     511次
芳草     509次
归来     508次
此时     507次
应制     503次
别离     497次
杨柳     497次
洛阳     496次
夕阳     494次
十二     494次
风雨     491次
日暮     489次
歌辞     487次
处士     486次
白发     485次
郊庙     481次
行人     477次
宫词     475次
何时     474次
十年     471次
烟霞     466次
和歌     466次
参差     465次
神仙     459次
韩愈     459次
东风     457次
分明     452次
落花     450次
芙蓉     448次
风吹     445次
归去     442次
天涯     439次
桃花     436次
唯有     435次
如今     435次
四首     432次
山川     432次
王维     429次
清风     428次
友人     428次
张说     425次
青云     424次
君王     421次
岑参     417次
处处     416次
门前     416次
何如     415次
终日     414次
殷勤     412次
浮云     411次
千年     410次
南山     406次
十一     406次
白头     402次
桃李     401次
不敢     400次
有时     398次
苍苍     397次
权德     396次
三年     395次
此地     394次
君子     393次
鸳鸯     391次
韦庄     388次
寒食     386次
秀才     382次
寒山     381次
侍郎     379次
十五     377次
风流     376次
二十     376次
梵志     376次
无限     375次
绝句     375次
方干     375次
山居     373次
自有     373次
山水     371次
辛本     371次
薛能     369次
萧萧     368次
春色     367次
何必     366次
草木     366次
道士     364次
不觉     363次
郑谷     363次
中丞     361次
天上     360次
卢纶     360次
谁知     359次
不同     357次
至今     356次
一声     355次
尚书     352次
不堪     351次
萧条     350次
秋日     350次
春草     349次
无心     349次
纷纷     348次
古今     346次
